"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 19 12:12:13 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","120","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
"passed","Fri Apr 19 12:12:12 GMT 2024","Fri Apr 19 12:12:12 GMT 2024","73","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"failed","Fri Apr 19 12:12:13 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","112","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Fri Apr 19 12:12:12 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","797","test_cases","test_drep","","","","test_list_drep",""
"passed","Fri Apr 19 12:12:12 GMT 2024","Fri Apr 19 12:12:12 GMT 2024","71","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
"passed","Fri Apr 19 12:12:12 GMT 2024","Fri Apr 19 12:12:12 GMT 2024","102","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Fri Apr 19 12:12:13 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","158","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"passed","Fri Apr 19 12:12:11 GMT 2024","Fri Apr 19 12:12:12 GMT 2024","355","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
"failed","Fri Apr 19 12:12:13 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","71","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"failed","Fri Apr 19 12:12:13 GMT 2024","Fri Apr 19 12:12:13 GMT 2024","71","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
