"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","192","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Wed Jan 29 12:50:01 GMT 2025","passed","Wed Jan 29 12:50:01 GMT 2025","","test_ada_holder","",""
"","179","test_drep_getVotes[registered_drep1]","test_cases","Wed Jan 29 12:50:04 GMT 2025","passed","Wed Jan 29 12:50:04 GMT 2025","","test_drep","",""
"","332","test_get_epoch_param","test_cases","Wed Jan 29 12:50:04 GMT 2025","passed","Wed Jan 29 12:50:05 GMT 2025","","test_misc","",""
"","792","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Wed Jan 29 12:50:00 GMT 2025","passed","Wed Jan 29 12:50:01 GMT 2025","","test_ada_holder","",""
"","1552","test_list_drep","test_cases","Wed Jan 29 12:50:01 GMT 2025","passed","Wed Jan 29 12:50:03 GMT 2025","","test_drep","",""
"","350","test_list_proposal","test_cases","Wed Jan 29 12:50:05 GMT 2025","passed","Wed Jan 29 12:50:05 GMT 2025","","test_proposal","",""
"","191","test_drep_getVotes[registered_drep0]","test_cases","Wed Jan 29 12:50:03 GMT 2025","passed","Wed Jan 29 12:50:03 GMT 2025","","test_drep","",""
"","193","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Wed Jan 29 12:50:01 GMT 2025","passed","Wed Jan 29 12:50:01 GMT 2025","","test_ada_holder","",""
"","189","test_drep_get_info[registered_drep0]","test_cases","Wed Jan 29 12:50:04 GMT 2025","passed","Wed Jan 29 12:50:04 GMT 2025","","test_drep","",""
"","179","test_get_transaction_status","test_cases","Wed Jan 29 12:50:05 GMT 2025","passed","Wed Jan 29 12:50:05 GMT 2025","","test_misc","",""
"","179","test_drep_voting_power[registered_drep1]","test_cases","Wed Jan 29 12:50:04 GMT 2025","passed","Wed Jan 29 12:50:04 GMT 2025","","test_drep","",""
"","970","test_epoch_boundary","test_cases","Wed Jan 29 12:50:08 GMT 2025","passed","Wed Jan 29 12:50:09 GMT 2025","","test_proposal","",""
"","2322","test_get_proposal","test_cases","Wed Jan 29 12:50:05 GMT 2025","passed","Wed Jan 29 12:50:08 GMT 2025","","test_proposal","",""
"","483","test_drep_voting_power[registered_drep0]","test_cases","Wed Jan 29 12:50:03 GMT 2025","passed","Wed Jan 29 12:50:04 GMT 2025","","test_drep","",""
"","211","test_get_network_metrics","test_cases","Wed Jan 29 12:50:05 GMT 2025","passed","Wed Jan 29 12:50:05 GMT 2025","","test_misc","",""
"","180","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Wed Jan 29 12:50:01 GMT 2025","passed","Wed Jan 29 12:50:01 GMT 2025","","test_ada_holder","",""
"","190","test_drep_get_info[registered_drep1]","test_cases","Wed Jan 29 12:50:04 GMT 2025","passed","Wed Jan 29 12:50:04 GMT 2025","","test_drep","",""
