"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 06:45:22 GMT 2024","Sun May 19 06:45:22 GMT 2024","87","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Sun May 19 06:45:23 GMT 2024","Sun May 19 06:45:23 GMT 2024","95","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep1]",""
"failed","Sun May 19 06:45:23 GMT 2024","Sun May 19 06:45:25 GMT 2024","2311","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Sun May 19 06:45:23 GMT 2024","Sun May 19 06:45:23 GMT 2024","85","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep1]",""
"passed","Sun May 19 06:45:22 GMT 2024","Sun May 19 06:45:22 GMT 2024","87","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep1]",""
"passed","Sun May 19 06:45:22 GMT 2024","Sun May 19 06:45:22 GMT 2024","104","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Sun May 19 06:45:22 GMT 2024","Sun May 19 06:45:22 GMT 2024","356","test_cases","test_ada_holder","","","","test_ada_delegation[ada_holder_delegate_to_drep0]",""
"passed","Sun May 19 06:45:22 GMT 2024","Sun May 19 06:45:23 GMT 2024","170","test_cases","test_drep","","","","test_list_drep",""
"passed","Sun May 19 06:45:23 GMT 2024","Sun May 19 06:45:23 GMT 2024","85","test_cases","test_drep","","","","test_initialized_getVotingPower[registered_drep0]",""
"passed","Sun May 19 06:45:23 GMT 2024","Sun May 19 06:45:23 GMT 2024","123","test_cases","test_drep","","","","test_initialized_getVotes[registered_drep0]",""
