"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","5. Proposal functionality","4","","8","0","","0"
"0","4. Proposal visibility","2","","14","1","","0"
"9","2. Delegation","7","","9","1","","0"
"4","6. Miscellaneous","3","","29","0","6A. Should be accessible from mobile","0"
"0","6. Miscellaneous","0","","18","0","","0"
"1","8. Proposal Discussion Forum","1","","16","0","","0"
"0","7. Proposal submission","5","","17","0","","0"
"0","Setup","0","","16","0","Authentication","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
"1","3. DRep registration","2","","18","0","","0"
"0","Setup","0","","1","0","Faucet","0"
"0","Setup","0","","3","0","Cleanup","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","","0","","0","1","","0"
