"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 02 08:31:23 GMT 2024","Tue Jul 02 08:31:35 GMT 2024","11306","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1C. Should disconnect Wallet When connected",""
"passed","Tue Jul 02 08:31:10 GMT 2024","Tue Jul 02 08:31:19 GMT 2024","8711","auth setup","auth.setup.ts","","","","Create DRep 02 auth",""
"passed","Tue Jul 02 08:33:28 GMT 2024","Tue Jul 02 08:33:33 GMT 2024","5006","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4A_1. Should access Governance Actions page with connecting wallet",""
"failed","Tue Jul 02 08:35:07 GMT 2024","Tue Jul 02 08:35:09 GMT 2024","1401","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created logged in state","","","8J. Should sort the proposed governance action comments.",""
"passed","Tue Jul 02 08:32:52 GMT 2024","Tue Jul 02 08:33:11 GMT 2024","19116","dRep setup","dRep.setup.ts","","","","Register DRep of static wallets",""
"passed","Tue Jul 02 08:31:35 GMT 2024","Tue Jul 02 08:31:39 GMT 2024","4279","independent (desktop)","3-drep-registration/dRepRegistration.spec.ts","","","","3C. Should open wallet connection popup on DRep registration in disconnected state",""
"passed","Tue Jul 02 08:32:44 GMT 2024","Tue Jul 02 08:32:48 GMT 2024","4744","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","Mocked proposal","","","8I. Should disable poll voting functionality.",""
"passed","Tue Jul 02 08:32:34 GMT 2024","Tue Jul 02 08:32:50 GMT 2024","15418","mobile","8-proposal-discussion/proposalDiscussion.spec.ts","","","","8D.Should show the view-all categorized proposed governance actions.",""
"passed","Tue Jul 02 08:32:09 GMT 2024","Tue Jul 02 08:32:32 GMT 2024","22810","mobile","2-delegation/delegation.spec.ts","","","","2K_2. Should sort DReps",""
"failed","Tue Jul 02 08:35:07 GMT 2024","Tue Jul 02 08:35:08 GMT 2024","809","loggedin (desktop)","8-proposal-discussion/proposalDiscussion.loggedin.spec.ts","Proposal created with poll enabled (user auth)","","","8T. Should change vote on poll.",""
