"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 05:28:11 GMT 2024","Wed May 15 05:28:21 GMT 2024","10416","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Logged in DReps","","","3A. Should show dRepId on dashboard after connecting registered dRep Wallet",""
"passed","Wed May 15 05:24:56 GMT 2024","Wed May 15 05:25:12 GMT 2024","16830","independent (mobile)","1-wallet-connect/walletConnect.spec.ts","","","","1A. Should connect wallet and choose stake-key to use",""
"broken","Wed May 15 05:25:52 GMT 2024","Wed May 15 05:26:23 GMT 2024","30784","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4B.1: Should restrict voting for users who are not registered as DReps (with wallet connected)",""
"passed","Wed May 15 05:26:18 GMT 2024","Wed May 15 05:26:28 GMT 2024","9318","loggedin (mobile)","2-delegation/delegation.loggedin.spec.ts","","","","2D. Verify Delegation Behavior in Connected State",""
"passed","Wed May 15 05:26:13 GMT 2024","Wed May 15 05:26:21 GMT 2024","7588","loggedin (mobile)","1-wallet-connect/walletConnect.loggedin.spec.ts","","","","1B: Should connect wallet with single stake key",""
"skipped","Wed May 15 05:25:50 GMT 2024","Wed May 15 05:25:52 GMT 2024","2068","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3E. Should reject invalid data and accept valid data",""
"passed","Wed May 15 05:25:48 GMT 2024","Wed May 15 05:25:59 GMT 2024","11875","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4A.1: Should access Governance Actions page with connecting wallet",""
"broken","Wed May 15 05:28:42 GMT 2024","Wed May 15 05:29:13 GMT 2024","30591","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks","","","5G. Should show warning to the users to visit the site at their own risk, when external url is opened",""
"passed","Wed May 15 05:25:02 GMT 2024","Wed May 15 05:25:15 GMT 2024","12709","independent (mobile)","3-drep-registration/dRepRegistration.spec.ts","","","","3C. Should open wallet connection popup, when Register as DRep from wallet unconnected state",""
"skipped","Wed May 15 05:26:48 GMT 2024","Wed May 15 05:26:49 GMT 2024","638","loggedin (mobile)","6-miscellaneous/miscellaneous.loggedin.spec.ts","","","","6B. Provides error for invalid format",""
"passed","Wed May 15 05:25:02 GMT 2024","Wed May 15 05:25:14 GMT 2024","12323","independent (mobile)","4-proposal-visibility/proposalVisibility.spec.ts","","","","4A.2: Should access Governance Actions page without connecting wallet",""
"passed","Wed May 15 05:26:40 GMT 2024","Wed May 15 05:26:48 GMT 2024","7966","loggedin (mobile)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4H. Should verify none of the displayed governance actions have expired",""
"broken","Wed May 15 05:26:39 GMT 2024","Wed May 15 05:28:09 GMT 2024","90647","loggedin (mobile)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4D: Should filter and sort Governance Action Type on governance actions page",""
"skipped","Wed May 15 05:29:14 GMT 2024","Wed May 15 05:29:15 GMT 2024","638","delegation","2-delegation/delegation.delegation.spec.ts","Delegate to myself","","","2E. Should register as SoleVoter",""
"passed","Wed May 15 05:24:35 GMT 2024","Wed May 15 05:24:53 GMT 2024","18003","auth setup","auth.setup.ts","","","","Create AdaHolder 01 auth",""
"broken","Wed May 15 05:24:55 GMT 2024","Wed May 15 05:25:26 GMT 2024","30954","independent (desktop)","6-miscellaneous/miscellaneous.spec.ts","","","","6C. Navigation within the dApp",""
"skipped","Wed May 15 05:26:17 GMT 2024","Wed May 15 05:26:18 GMT 2024","1699","loggedin (mobile)","2-delegation/delegation.loggedin.spec.ts","","","","2I. Should check validity of DRep Id",""
"broken","Wed May 15 05:28:11 GMT 2024","Wed May 15 05:28:42 GMT 2024","31507","dRep","4-proposal-visibility/proposalVisibility.dRep.spec.ts","","","","4E. Should display DRep's voting power in governance actions page",""
"passed","Wed May 15 05:24:56 GMT 2024","Wed May 15 05:25:12 GMT 2024","16032","independent (mobile)","1-wallet-connect/walletConnect.spec.ts","","","","1D. Should check correct network (Testnet/Mainnet) on connection",""
"passed","Wed May 15 05:25:50 GMT 2024","Wed May 15 05:26:03 GMT 2024","12972","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3B. Should access DRep registration page",""
"failed","Wed May 15 05:26:33 GMT 2024","Wed May 15 05:26:38 GMT 2024","5035","loggedin (mobile)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4C.2: Should sort Governance Action Type on governance actions page",""
"broken","Wed May 15 05:28:11 GMT 2024","Wed May 15 05:40:43 GMT 2024","751397","dRep","3-drep-registration/dRepRegistration.dRep.spec.ts","Temporary DReps","","","3J. Verify DRep behavior in retired state",""
"broken","Wed May 15 05:28:21 GMT 2024","Wed May 15 05:28:52 GMT 2024","30347","dRep","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","Proposal checks","","","5D. Should validate proposal voting",""
"broken","Wed May 15 05:25:49 GMT 2024","Wed May 15 05:26:20 GMT 2024","30970","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3F. Should create proper DRep registration request, when registered with data",""
"broken","Wed May 15 05:25:59 GMT 2024","Wed May 15 05:27:30 GMT 2024","90354","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4D: Should filter and sort Governance Action Type on governance actions page",""
"passed","Wed May 15 05:24:36 GMT 2024","Wed May 15 05:24:58 GMT 2024","21911","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1C: Should disconnect Wallet When connected",""
"skipped","Wed May 15 05:26:12 GMT 2024","Wed May 15 05:26:13 GMT 2024","1016","loggedin (desktop)","6-miscellaneous/miscellaneous.loggedin.spec.ts","","","","6B. Provides error for invalid format",""
"passed","Wed May 15 05:24:40 GMT 2024","Wed May 15 05:24:55 GMT 2024","14919","independent (desktop)","4-proposal-visibility/proposalVisibility.spec.ts","","","","4A.2: Should access Governance Actions page without connecting wallet",""
"broken","Wed May 15 05:26:14 GMT 2024","Wed May 15 05:26:44 GMT 2024","30587","loggedin (mobile)","2-delegation/delegation.loggedin.spec.ts","","","","2B. Should access delegation to dRep page",""
