"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","734","test_drep_get_info[registered_drep0]","test_cases","Wed May 21 07:17:02 GMT 2025","passed","Wed May 21 07:17:02 GMT 2025","","test_drep","",""
"","173","test_drep_get_info[registered_drep1]","test_cases","Wed May 21 07:17:03 GMT 2025","passed","Wed May 21 07:17:03 GMT 2025","","test_drep","",""
"","1981","test_get_network_metrics","test_cases","Wed May 21 07:17:03 GMT 2025","passed","Wed May 21 07:17:05 GMT 2025","","test_misc","",""
"","727","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Wed May 21 07:16:56 GMT 2025","passed","Wed May 21 07:16:57 GMT 2025","","test_ada_holder","",""
"","164","test_drep_getVotes[registered_drep1]","test_cases","Wed May 21 07:17:02 GMT 2025","passed","Wed May 21 07:17:03 GMT 2025","","test_drep","",""
"","3627","test_list_drep","test_cases","Wed May 21 07:16:57 GMT 2025","passed","Wed May 21 07:17:00 GMT 2025","","test_drep","",""
"","724","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Wed May 21 07:16:54 GMT 2025","passed","Wed May 21 07:16:55 GMT 2025","","test_ada_holder","",""
"","794","test_epoch_boundary","test_cases","Wed May 21 07:17:13 GMT 2025","passed","Wed May 21 07:17:13 GMT 2025","","test_proposal","",""
"","166","test_drep_voting_power[registered_drep1]","test_cases","Wed May 21 07:17:03 GMT 2025","passed","Wed May 21 07:17:03 GMT 2025","","test_drep","",""
"","1209","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Wed May 21 07:16:53 GMT 2025","passed","Wed May 21 07:16:54 GMT 2025","","test_ada_holder","",""
"","732","test_drep_getVotes[registered_drep0]","test_cases","Wed May 21 07:17:00 GMT 2025","passed","Wed May 21 07:17:01 GMT 2025","","test_drep","",""
"","266","test_get_epoch_param","test_cases","Wed May 21 07:17:03 GMT 2025","passed","Wed May 21 07:17:03 GMT 2025","","test_misc","",""
"","722","test_get_network_info","test_cases","Wed May 21 07:17:06 GMT 2025","passed","Wed May 21 07:17:07 GMT 2025","","test_misc","",""
"","720","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Wed May 21 07:16:55 GMT 2025","passed","Wed May 21 07:16:56 GMT 2025","","test_ada_holder","",""
"","721","test_drep_voting_power[registered_drep0]","test_cases","Wed May 21 07:17:01 GMT 2025","passed","Wed May 21 07:17:02 GMT 2025","","test_drep","",""
"","635","test_list_proposal","test_cases","Wed May 21 07:17:07 GMT 2025","passed","Wed May 21 07:17:08 GMT 2025","","test_proposal","",""
"","889","test_get_network_total_stake","test_cases","Wed May 21 07:17:05 GMT 2025","passed","Wed May 21 07:17:06 GMT 2025","","test_misc","",""
"","4465","test_get_proposal","test_cases","Wed May 21 07:17:08 GMT 2025","passed","Wed May 21 07:17:13 GMT 2025","","test_proposal","",""
"","729","test_get_transaction_status","test_cases","Wed May 21 07:17:07 GMT 2025","passed","Wed May 21 07:17:07 GMT 2025","","test_misc","",""
