"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10748","Create Proposal 04 auth","proposal discussion auth setup","Thu Jun 12 02:01:42 GMT 2025","passed","Thu Jun 12 02:01:52 GMT 2025","","proposal-discussion.auth.setup.ts","",""
"","4483","Create AdaHolder 02 auth","adaholder auth setup","Thu Jun 12 02:23:14 GMT 2025","passed","Thu Jun 12 02:23:19 GMT 2025","","adaholder.auth.setup.ts","",""
"","6155","10C. Should verify feature form","independent (desktop)","Thu Jun 12 02:02:40 GMT 2025","passed","Thu Jun 12 02:02:46 GMT 2025","","10-user-snap/userSnap.spec.ts","",""
"","6456","5C. Should show required field in proposal voting on registered as DRep","dRep","Thu Jun 12 02:57:40 GMT 2025","passed","Thu Jun 12 02:57:47 GMT 2025","Proposal checks","5-proposal-functionality/proposalFunctionality.dRep.spec.ts","",""
"","3439","Create AdaHolder 05 auth","adaholder auth setup","Thu Jun 12 02:23:22 GMT 2025","passed","Thu Jun 12 02:23:26 GMT 2025","","adaholder.auth.setup.ts","",""
"","3486","2Y_1. Should correctly convert CIP-129/CIP-105 script drep","mobile","Thu Jun 12 02:17:06 GMT 2025","passed","Thu Jun 12 02:17:10 GMT 2025","","2-delegation/delegation.spec.ts","",""
"","49761","8R. Should disable voting after cancelling the poll with the current poll result.","proposal discussion","Thu Jun 12 02:35:57 GMT 2025","passed","Thu Jun 12 02:36:47 GMT 2025","Proposal created with poll enabled (proposal auth)","8-proposal-discussion/proposalDiscussion.loggedin.pd.spec.ts","",""
"","17985","11J. Should reply to any comments","budget proposal","Thu Jun 12 02:37:00 GMT 2025","passed","Thu Jun 12 02:37:18 GMT 2025","Budget proposal logged in state","11-proposal-budget/proposalBudget.loggedin.pb.spec.ts","",""
"","9587","6F. Should open sanchonet docs in a new tab when clicking `info` button of abstain and signal-no-confidence card","loggedin (desktop)","Thu Jun 12 02:47:46 GMT 2025","passed","Thu Jun 12 02:47:56 GMT 2025","Logged in user","6-miscellaneous/miscellaneous.loggedin.spec.ts","",""
"","11489","Create Proposal 06 auth","proposal discussion auth setup","Thu Jun 12 02:01:52 GMT 2025","passed","Thu Jun 12 02:02:04 GMT 2025","","proposal-discussion.auth.setup.ts","",""
"","63476","11B_3. Should sort budget proposals","independent (desktop)","Thu Jun 12 02:03:05 GMT 2025","failed","Thu Jun 12 02:04:09 GMT 2025","Budget proposal list manipulation > Filter and sort budget proposals","11-proposal-budget/proposalBudget.spec.ts","",""
