"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","185","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Fri Feb 07 09:34:23 GMT 2025","passed","Fri Feb 07 09:34:23 GMT 2025","","test_ada_holder","",""
"","23","test_drep_voting_power[registered_drep0]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","39","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Fri Feb 07 09:34:23 GMT 2025","passed","Fri Feb 07 09:34:23 GMT 2025","","test_ada_holder","",""
"","27","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Fri Feb 07 09:34:23 GMT 2025","passed","Fri Feb 07 09:34:23 GMT 2025","","test_ada_holder","",""
"","28","test_drep_getVotes[registered_drep0]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","11","test_drep_voting_power[registered_drep1]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","384","test_get_proposal","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:27 GMT 2025","","test_proposal","",""
"","43","test_drep_get_info[registered_drep0]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","443","test_epoch_boundary","test_cases","Fri Feb 07 09:34:27 GMT 2025","passed","Fri Feb 07 09:34:27 GMT 2025","","test_proposal","",""
"","11","test_get_transaction_status","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_misc","",""
"","2789","test_list_drep","test_cases","Fri Feb 07 09:34:23 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","52","test_get_network_metrics","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_misc","",""
"","19","test_drep_get_info[registered_drep1]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","100","test_get_epoch_param","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_misc","",""
"","31","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Fri Feb 07 09:34:23 GMT 2025","passed","Fri Feb 07 09:34:23 GMT 2025","","test_ada_holder","",""
"","11","test_drep_getVotes[registered_drep1]","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_drep","",""
"","10","test_list_proposal","test_cases","Fri Feb 07 09:34:26 GMT 2025","passed","Fri Feb 07 09:34:26 GMT 2025","","test_proposal","",""
