"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 16 06:50:02 GMT 2024","Fri Aug 16 06:50:02 GMT 2024","213","test_cases","test_proposal","","","","test_get_proposal",""
"passed","Fri Aug 16 06:50:00 GMT 2024","Fri Aug 16 06:50:00 GMT 2024","108","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep0]",""
"passed","Fri Aug 16 06:50:00 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","155","test_cases","test_drep","","","","test_drep_getVotes[registered_drep0]",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","98","test_cases","test_drep","","","","test_drep_voting_power[registered_drep1]",""
"failed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:02 GMT 2024","149","test_cases","test_proposal","","","","test_list_proposal",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","105","test_cases","test_misc","","","","test_get_transaction_status",""
"passed","Fri Aug 16 06:49:59 GMT 2024","Fri Aug 16 06:50:00 GMT 2024","459","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","118","test_cases","test_drep","","","","test_drep_getVotes[registered_drep1]",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","108","test_cases","test_drep","","","","test_drep_get_info[registered_drep1]",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","107","test_cases","test_misc","","","","test_get_epoch_param",""
"passed","Fri Aug 16 06:50:00 GMT 2024","Fri Aug 16 06:50:00 GMT 2024","96","test_cases","test_ada_holder","","","","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]",""
"passed","Fri Aug 16 06:50:00 GMT 2024","Fri Aug 16 06:50:00 GMT 2024","468","test_cases","test_drep","","","","test_list_drep",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","108","test_cases","test_misc","","","","test_get_network_metrics",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","104","test_cases","test_drep","","","","test_drep_get_info[registered_drep0]",""
"passed","Fri Aug 16 06:50:00 GMT 2024","Fri Aug 16 06:50:00 GMT 2024","99","test_cases","test_ada_holder","","","","test_check_voting_power[ada_holder_delegate_to_drep1]",""
"passed","Fri Aug 16 06:50:01 GMT 2024","Fri Aug 16 06:50:01 GMT 2024","104","test_cases","test_drep","","","","test_drep_voting_power[registered_drep0]",""
