"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9587","Faucet setup","faucet setup","Thu Nov 28 08:37:12 GMT 2024","passed","Thu Nov 28 08:37:21 GMT 2024","","faucet.setup.ts","",""
"","3788","1C. Should disconnect Wallet When connected","independent (desktop)","Thu Nov 28 08:43:55 GMT 2024","passed","Thu Nov 28 08:43:59 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","180565","Create DRep 02 auth","auth setup","Thu Nov 28 08:37:12 GMT 2024","broken","Thu Nov 28 08:40:12 GMT 2024","","auth.setup.ts","",""
"","180443","Create AdaHolder 05 auth","auth setup","Thu Nov 28 08:40:25 GMT 2024","broken","Thu Nov 28 08:43:26 GMT 2024","","auth.setup.ts","",""
"","180334","1D. Should reject wallet connection in mainnet","independent (desktop)","Thu Nov 28 08:43:59 GMT 2024","broken","Thu Nov 28 08:46:59 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","180610","Create DRep 01 auth","auth setup","Thu Nov 28 08:37:12 GMT 2024","broken","Thu Nov 28 08:40:12 GMT 2024","","auth.setup.ts","",""
"","3488","1A. Should connect wallet and choose stake-key to use","independent (desktop)","Thu Nov 28 08:43:52 GMT 2024","passed","Thu Nov 28 08:43:55 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","9745","Create Proposal 01 auth","auth setup","Thu Nov 28 08:40:27 GMT 2024","failed","Thu Nov 28 08:40:37 GMT 2024","","auth.setup.ts","",""
"","9186","Create Proposal 05 auth","auth setup","Thu Nov 28 08:43:28 GMT 2024","failed","Thu Nov 28 08:43:37 GMT 2024","","auth.setup.ts","",""
"","180435","Create Proposal 07 auth","auth setup","Thu Nov 28 08:43:39 GMT 2024","broken","Thu Nov 28 08:46:39 GMT 2024","","auth.setup.ts","",""
"","9573","Create Proposal 06 auth","auth setup","Thu Nov 28 08:43:34 GMT 2024","failed","Thu Nov 28 08:43:44 GMT 2024","","auth.setup.ts","",""
"","180485","Create User 01 auth","auth setup","Thu Nov 28 08:37:12 GMT 2024","broken","Thu Nov 28 08:40:12 GMT 2024","","auth.setup.ts","",""
"","2822","1E. Should hide incompatible wallets when connecting","independent (desktop)","Thu Nov 28 08:46:18 GMT 2024","passed","Thu Nov 28 08:46:21 GMT 2024","","1-wallet-connect/walletConnect.spec.ts","",""
"","180411","Create Proposal 04 auth","auth setup","Thu Nov 28 08:43:17 GMT 2024","broken","Thu Nov 28 08:46:17 GMT 2024","","auth.setup.ts","",""
"","180333","Create Proposal 02 auth","auth setup","Thu Nov 28 08:40:32 GMT 2024","broken","Thu Nov 28 08:43:33 GMT 2024","","auth.setup.ts","",""
"","180428","Create Proposal 03 auth","auth setup","Thu Nov 28 08:40:39 GMT 2024","broken","Thu Nov 28 08:43:39 GMT 2024","","auth.setup.ts","",""
"","10442","Create AdaHolder 02 auth","auth setup","Thu Nov 28 08:40:15 GMT 2024","failed","Thu Nov 28 08:40:25 GMT 2024","","auth.setup.ts","",""
"","9884","7H_1. Should submit a info proposal as governance action","proposal submission","Thu Nov 28 08:43:41 GMT 2024","failed","Thu Nov 28 08:43:51 GMT 2024","","7-proposal-submission/proposalSubmission.ga.spec.ts","",""
"","4992","Create AdaHolder 06 auth","auth setup","Thu Nov 28 08:40:27 GMT 2024","passed","Thu Nov 28 08:40:32 GMT 2024","","auth.setup.ts","",""
"","180460","Create AdaHolder 03 auth","auth setup","Thu Nov 28 08:40:15 GMT 2024","broken","Thu Nov 28 08:43:15 GMT 2024","","auth.setup.ts","",""
"","10244","Create AdaHolder 04 auth","auth setup","Thu Nov 28 08:40:15 GMT 2024","failed","Thu Nov 28 08:40:25 GMT 2024","","auth.setup.ts","",""
"","180408","Create AdaHolder 01 auth","auth setup","Thu Nov 28 08:37:23 GMT 2024","broken","Thu Nov 28 08:40:24 GMT 2024","","auth.setup.ts","",""
