"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 05:11:00 GMT 2024","Fri May 24 05:11:03 GMT 2024","3580","wallet bootstrap","wallet.bootstrap.ts","","","","Register stake of static wallet: addr_test1qpqzpttj5f72rw88afyn5czxucrxv0h89485zk9tlwy6xucuxfrem90jp49mjqxvtl23tqtm7u8ss8adyx486mwz73zs5suavn",""
"passed","Fri May 24 05:08:33 GMT 2024","Fri May 24 05:08:45 GMT 2024","11220","independent (mobile)","7-proposal-submission/proposalSubmissionVisibility.spec.ts","","","","7C. Should list governance action types",""
"passed","Fri May 24 05:07:28 GMT 2024","Fri May 24 05:07:49 GMT 2024","20554","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1C: Should disconnect Wallet When connected",""
"failed","Fri May 24 05:09:39 GMT 2024","Fri May 24 05:09:49 GMT 2024","9612","loggedin (desktop)","7-proposal-submission/proposalSubmission.loggedin.spec.ts","Reject invalid  data","","","7F.1 Should reject invalid data in info Proposal form",""
"broken","Fri May 24 05:09:10 GMT 2024","Fri May 24 05:09:40 GMT 2024","30728","loggedin (desktop)","4-proposal-visibility/proposalVisibility.loggedin.spec.ts","","","","4B.1: Should restrict voting for users who are not registered as DReps (with wallet connected)",""
"passed","Fri May 24 05:08:56 GMT 2024","Fri May 24 05:09:08 GMT 2024","11900","loggedin (desktop)","1-wallet-connect/walletConnect.loggedin.spec.ts","","","","1B: Should connect wallet with single stake key",""
"passed","Fri May 24 05:07:47 GMT 2024","Fri May 24 05:08:07 GMT 2024","19406","independent (desktop)","2-delegation/delegation.spec.ts","","","","2O. Should load more DReps on show more",""
"passed","Fri May 24 05:07:28 GMT 2024","Fri May 24 05:07:46 GMT 2024","18328","independent (desktop)","1-wallet-connect/walletConnect.spec.ts","","","","1A. Should connect wallet and choose stake-key to use",""
"broken","Fri May 24 05:09:01 GMT 2024","Fri May 24 05:09:32 GMT 2024","30931","loggedin (desktop)","3-drep-registration/dRepRegistration.loggedin.spec.ts","","","","3E. Should accept valid data in DRep form",""
"passed","Fri May 24 05:08:07 GMT 2024","Fri May 24 05:08:21 GMT 2024","13495","independent (desktop)","7-proposal-submission/proposalSubmissionVisibility.spec.ts","Verify Proposal form","","","7D.2: Verify treasury proposal form",""
