"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","6. Miscellaneous","4","","31","0","6A. Should be accessible from mobile","0"
"2","7. Proposal submission","2","","18","0","","0"
"0","4. Proposal visibility","1","","15","1","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","8. Proposal Discussion Forum","1","","17","0","","0"
"12","2. Delegation","5","","8","1","","0"
"0","","0","","0","1","","0"
"1","5. Proposal functionality","3","","8","0","","0"
"0","Setup","0","","3","0","Cleanup","0"
"2","3. DRep registration","3","","16","0","","0"
"1","6. Miscellaneous","1","","16","0","","0"
"0","Setup","0","","16","0","Authentication","0"
"0","Setup","0","","1","0","Faucet","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","2","0","Register DRep","0"
