"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18692","9F. Should load more Outcomes on show more","independent (desktop)","Thu Mar 27 16:36:14 NPT 2025","passed","Thu Mar 27 16:36:32 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","7869","9H_3: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match.","mobile","Thu Mar 27 16:37:35 NPT 2025","passed","Thu Mar 27 16:37:43 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","11585","9H_3: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match.","independent (desktop)","Thu Mar 27 16:36:22 NPT 2025","passed","Thu Mar 27 16:36:33 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","73230","9G. Should display correct vote counts on outcome details page","mobile","Thu Mar 27 16:37:05 NPT 2025","failed","Thu Mar 27 16:38:19 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","98077","9C_1. Should filter Governance Action Type on governance actions page","mobile","Thu Mar 27 16:36:43 NPT 2025","passed","Thu Mar 27 16:38:22 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","13074","9H_2: Should display ""Data Missing"" message in outcomes when metadata URL could not be found.","independent (desktop)","Thu Mar 27 16:36:20 NPT 2025","passed","Thu Mar 27 16:36:33 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","8068","9H_4: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match and is incorrect ga format","independent (desktop)","Thu Mar 27 16:36:32 NPT 2025","passed","Thu Mar 27 16:36:40 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","5382","9E. Should verify all of the displayed governance actions have expired","mobile","Thu Mar 27 16:37:00 NPT 2025","passed","Thu Mar 27 16:37:05 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","6111","9H_4: Should display ""Data Not Verifiable"" message in outcomes when metadata hash and URL do not match and is incorrect ga format","mobile","Thu Mar 27 16:37:43 NPT 2025","passed","Thu Mar 27 16:37:49 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","13152","9F. Should load more Outcomes on show more","mobile","Thu Mar 27 16:37:04 NPT 2025","passed","Thu Mar 27 16:37:17 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","76422","9H_1: Should display ""Data Formatted Incorrectly"" message in outcomes when hash is valid but incorrect metadata format.","independent (desktop)","Thu Mar 27 16:36:15 NPT 2025","failed","Thu Mar 27 16:37:31 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","16628","9D. Should copy governanceActionId","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:36:15 NPT 2025","Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","7646","9H_2: Should display ""Data Missing"" message in outcomes when metadata URL could not be found.","mobile","Thu Mar 27 16:37:35 NPT 2025","passed","Thu Mar 27 16:37:43 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","9976","9D. Should copy governanceActionId","mobile","Thu Mar 27 16:36:44 NPT 2025","passed","Thu Mar 27 16:36:54 NPT 2025","Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","21937","9B. Should search outcomes proposal by title and id","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:36:20 NPT 2025","Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","11222","9A. Should access Outcomes page in disconnect state","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:36:09 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","23738","9C_2. Should sort Governance Action Type on outcomes page","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:36:22 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","78155","9G. Should display correct vote counts on outcome details page","independent (desktop)","Thu Mar 27 16:36:15 NPT 2025","failed","Thu Mar 27 16:37:33 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","117322","9C_1. Should filter Governance Action Type on governance actions page","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:37:56 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","11553","9C_2. Should sort Governance Action Type on outcomes page","mobile","Thu Mar 27 16:36:53 NPT 2025","passed","Thu Mar 27 16:37:04 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","15344","9C_3. Should filter and sort Governance Action Type on outcomes page","independent (desktop)","Thu Mar 27 16:35:58 NPT 2025","passed","Thu Mar 27 16:36:13 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","6207","9C_3. Should filter and sort Governance Action Type on outcomes page","mobile","Thu Mar 27 16:36:54 NPT 2025","passed","Thu Mar 27 16:37:00 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","5475","9A. Should access Outcomes page in disconnect state","mobile","Thu Mar 27 16:36:38 NPT 2025","passed","Thu Mar 27 16:36:43 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
"","14325","9B. Should search outcomes proposal by title and id","mobile","Thu Mar 27 16:36:38 NPT 2025","passed","Thu Mar 27 16:36:53 NPT 2025","Outcome details dependent test","9-outcomes/outcomes.spec.ts","",""
"","67383","9H_1: Should display ""Data Formatted Incorrectly"" message in outcomes when hash is valid but incorrect metadata format.","mobile","Thu Mar 27 16:37:17 NPT 2025","failed","Thu Mar 27 16:38:25 NPT 2025","Invalid Outcome Metadata","9-outcomes/outcomes.spec.ts","",""
"","5393","9E. Should verify all of the displayed governance actions have expired","independent (desktop)","Thu Mar 27 16:36:09 NPT 2025","passed","Thu Mar 27 16:36:15 NPT 2025","","9-outcomes/outcomes.spec.ts","",""
