"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173","test_drep_get_info[registered_drep0]","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","165","test_drep_getVotes[registered_drep1]","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","1063","test_ada_holder_current_delegation[ada_holder_delegate_to_drep0]","test_cases","Thu May 22 02:01:22 GMT 2025","passed","Thu May 22 02:01:23 GMT 2025","","test_ada_holder","",""
"","172","test_drep_get_info[registered_drep1]","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","166","test_drep_voting_power[registered_drep0]","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","160","test_drep_voting_power[registered_drep1]","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","161","test_drep_getVotes[registered_drep0]","test_cases","Thu May 22 02:01:24 GMT 2025","passed","Thu May 22 02:01:25 GMT 2025","","test_drep","",""
"","162","test_check_voting_power[ada_holder_delegate_to_drep0]","test_cases","Thu May 22 02:01:23 GMT 2025","passed","Thu May 22 02:01:23 GMT 2025","","test_ada_holder","",""
"","2866","test_get_proposal","test_cases","Thu May 22 02:01:30 GMT 2025","passed","Thu May 22 02:01:33 GMT 2025","","test_proposal","",""
"","719","test_ada_holder_current_delegation[ada_holder_delegate_to_drep1]","test_cases","Thu May 22 02:01:23 GMT 2025","passed","Thu May 22 02:01:24 GMT 2025","","test_ada_holder","",""
"","666","test_list_proposal","test_cases","Thu May 22 02:01:29 GMT 2025","passed","Thu May 22 02:01:30 GMT 2025","","test_proposal","",""
"","126","test_list_drep","test_cases","Thu May 22 02:01:24 GMT 2025","passed","Thu May 22 02:01:24 GMT 2025","","test_drep","",""
"","735","test_check_voting_power[ada_holder_delegate_to_drep1]","test_cases","Thu May 22 02:01:24 GMT 2025","passed","Thu May 22 02:01:24 GMT 2025","","test_ada_holder","",""
"","913","test_get_network_total_stake","test_cases","Thu May 22 02:01:28 GMT 2025","passed","Thu May 22 02:01:29 GMT 2025","","test_misc","",""
"","264","test_get_epoch_param","test_cases","Thu May 22 02:01:25 GMT 2025","passed","Thu May 22 02:01:26 GMT 2025","","test_misc","",""
"","161","test_get_network_info","test_cases","Thu May 22 02:01:29 GMT 2025","passed","Thu May 22 02:01:29 GMT 2025","","test_misc","",""
"","2156","test_get_network_metrics","test_cases","Thu May 22 02:01:26 GMT 2025","passed","Thu May 22 02:01:28 GMT 2025","","test_misc","",""
"","564","test_epoch_boundary","test_cases","Thu May 22 02:01:33 GMT 2025","passed","Thu May 22 02:01:33 GMT 2025","","test_proposal","",""
"","159","test_get_transaction_status","test_cases","Thu May 22 02:01:29 GMT 2025","passed","Thu May 22 02:01:29 GMT 2025","","test_misc","",""
