"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","2. Delegation","6","","23","0","","0"
"2","6. Miscellaneous","4","","64","0","6A. Should be accessible from mobile","0"
"0","10. User Snap","0","","5","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","8. Proposal Discussion Forum","0","","17","0","","0"
"0","11. Proposal Budget","1","","15","0","","0"
"0","12. Proposal Budget Submission","1","","27","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"4","9. Outcomes","2","","20","0","","0"
"0","3. DRep registration","4","","19","0","","0"
"0","Setup","0","","25","0","Authentication","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","4. Proposal visibility","2","","19","0","","0"
"0","5. Proposal functionality","3","","9","0","","0"
"4","7. Proposal submission","0","","30","4","","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","0","","1","0","Proposal","0"
